file,dataset_name,original_label,original_label_value,T,Nv,Ng,min_voltage_global,tail_voltage_mean,tail_voltage_min,tail_voltage_std,final_recovered_ratio_0_9,final_recovered_ratio_0_95,duration_below_0_9,duration_below_0_85,duration_below_0_8,duration_below_0_7,undervoltage_area,non_recovery_ratio,spread_peak,tail_spread_mean,tail_spread_std,tail_spread_slope,tail_spread_slope_abs,angle_speed_median,angle_speed_p90,invalid_angle_ratio,first_invalid_time,g_v,g_r,g_s,g_w,raw_boundary_score,penalized_boundary_score,side_bonus,stable_clear_flag,unstable_clear_flag,boundary_score,boundary_candidate_flag,dynamic_unstable_flag,strong_high_voltage_override,stable_side_signal,unstable_side_signal,high_voltage_fast_signal,stable_side_boundary_flag,unstable_side_boundary_flag,high_voltage_fast_flag,stable_side_bonus,unstable_side_bonus,boundary_side,suspicious_reason,boundary_rank,plot_rel_path
74data/CurveResult 60%/job_540_90_1.npy,74,unstable,1,2001,64,15,5.999999848427251e-05,1.0228975712604338,0.8931553230356815,0.009126331604887641,0.9681311881188119,0.8852103960396039,12.799999713897705,4.049998760223389,1.9500000476837158,1.6700000762939453,0.951548736831952,0.015625,126.05337524414062,101.38187248078151,9.171898318162766,1.5974101638249671,1.5974101638249671,22.169101924966284,86.51195284188441,0.0,,0.9743082401476724,0.3361382902741799,0.7578212509348757,0.963909530124236,0.7585642633714128,0.7585642633714128,0.05719399644633778,0,0,0.8157582598177506,1,0,0,0.7337806971223967,0.3177444247018766,0.7342249835266828,0,1,0,0.0,0.05719399644633778,unstable_side,失稳标签样本，但末段并未完全崩溃，更像反复振荡或局部失稳，属于失稳侧边界候选。功角后段振荡较强，展宽和角速度同时落在中间风险带。电压末段反复接近低压危险区，但没有彻底崩塌。,1,plots/74/74data__CurveResult_60___job_540_90_1.npy.png
74data/CurveResult 60%/job_486_90_1.npy,74,unstable,1,2001,64,15,0.0002899999963119626,1.0228940917651599,0.8931485577602292,0.009142282092479774,0.9681311881188119,0.8852103960396039,12.81000018119812,4.0699989795684814,1.9600000381469727,1.6700000762939453,0.9527398245342694,0.015625,126.09560775756836,101.400077269445,9.186332011369007,1.5971709144913375,1.5971709144913375,22.310509250429142,86.59800925042913,0.0,,0.9742580872877183,0.3361382902741799,0.7582321297346652,0.9591510928235703,0.7577002497532408,0.7577002497532408,0.05683911556611196,0,0,0.8145393653193528,1,0,0,0.7300980443480855,0.31577286425617757,0.7300253935281482,0,1,0,0.0,0.05683911556611196,unstable_side,失稳标签样本，但末段并未完全崩溃，更像反复振荡或局部失稳，属于失稳侧边界候选。功角后段振荡较强，展宽和角速度同时落在中间风险带。电压末段反复接近低压危险区，但没有彻底崩塌。,2,plots/74/74data__CurveResult_60___job_486_90_1.npy.png
74data/CurveResult 60%/job_324_90_1.npy,74,unstable,1,2001,64,15,5.999999848427251e-05,1.0228783481647794,0.8931176629825611,0.009210108848808143,0.9676670792079208,0.8852103960396039,12.810000896453857,4.119999170303345,1.9700000286102295,1.6700000762939453,0.9581572166528673,0.015625,126.2800064086914,101.48082539572644,9.248411140105059,1.600891315499726,1.600891315499726,22.54248521838642,86.96928285332824,0.0,,0.9740284589586148,0.3390244901168726,0.7600524291033519,0.9507522122234863,0.7571282099373379,0.7571282099373379,0.05626413149443393,0,0,0.8133923414317719,1,0,0,0.724545441153546,0.31257850830241074,0.7239188145680729,0,1,0,0.0,0.05626413149443393,unstable_side,失稳标签样本，但末段并未完全崩溃，更像反复振荡或局部失稳，属于失稳侧边界候选。功角后段振荡较强，展宽和角速度同时落在中间风险带。电压末段反复接近低压危险区，但没有彻底崩塌。,3,plots/74/74data__CurveResult_60___job_324_90_1.npy.png
74data/CurveResult 60%/job_378_90_1.npy,74,unstable,1,2001,64,15,0.0003699999942909926,1.0228821516815405,0.8931251245351574,0.009193813267240919,0.9676670792079208,0.8852103960396039,12.810000896453857,4.099999189376831,1.9700000286102295,1.6700000762939453,0.9568177265477891,0.015625,126.23547744750977,101.46149520494451,9.233639190968578,1.5990762116874997,1.5990762116874997,22.766545870684723,87.0069479544154,0.0,,0.9740840073100315,0.3390244901168726,0.7596169939726652,0.9419574969572949,0.755277072606853,0.755277072606853,0.05557464415334606,0,0,0.810851716760199,1,0,0,0.7186938025020118,0.3087480230741448,0.7160566064588848,0,1,0,0.0,0.05557464415334606,unstable_side,失稳标签样本，但末段并未完全崩溃，更像反复振荡或局部失稳，属于失稳侧边界候选。功角后段振荡较强，展宽和角速度同时落在中间风险带。电压末段反复接近低压危险区，但没有彻底崩塌。,4,plots/74/74data__CurveResult_60___job_378_90_1.npy.png
74data/CurveResult 60%/job_432_90_1.npy,74,unstable,1,2001,64,15,0.0006900000153109431,1.0228879875294976,0.8931363666828592,0.009168763971967897,0.9678217821782178,0.8852103960396039,12.8000009059906,4.089999198913574,1.9600000381469727,1.6700000762939453,0.95472882290538,0.015625,126.16737365722656,101.43096843169103,9.210507385644169,1.5975879371300392,1.5975879371300392,22.76902536715621,86.97912335494945,0.0,,0.9741675929021092,0.33806094460006586,0.7589289266807616,0.9418564963484963,0.7548690449605389,0.7548690449605389,0.055539788643591936,0,0,0.8104088336041309,1,0,0,0.7184310070838239,0.30855438135328855,0.715412490974112,0,1,0,0.0,0.055539788643591936,unstable_side,失稳标签样本，但末段并未完全崩溃，更像反复振荡或局部失稳，属于失稳侧边界候选。功角后段振荡较强，展宽和角速度同时落在中间风险带。电压末段反复接近低压危险区，但没有彻底崩塌。,5,plots/74/74data__CurveResult_60___job_432_90_1.npy.png
74data/CurveResult 50%/job_540_100_1.npy,74,unstable,1,2001,64,15,5.999999848427251e-05,1.023130590999638,0.8947601460698825,0.003050057589411543,0.9750928217821783,0.8845915841584159,11.309998512268066,2.7599997520446777,1.1500000953674316,0.5299999713897705,0.6084478385779388,0.015625,126.54090118408203,101.7772742978376,7.49030066751483,-0.6723902114813832,0.6723902114813832,27.663425200279757,97.14495756246424,0.0,,0.9848623716527808,0.294488088405456,0.7667042190116558,0.632033316455123,0.6871634516411367,0.6871634516411367,0.03447314168498265,0,0,0.7216365933261193,1,0,0,0.6259886859330541,0.1915174538054592,0.5609082426003746,0,1,0,0.0,0.03447314168498265,unstable_side,失稳标签样本，但末段并未完全崩溃，更像反复振荡或局部失稳，属于失稳侧边界候选。功角后段振荡较强，展宽和角速度同时落在中间风险带。电压末段反复接近低压危险区，但没有彻底崩塌。,6,plots/74/74data__CurveResult_50___job_540_100_1.npy.png
74data/CurveResult 70%/job_540_100_1.npy,74,unstable,1,2001,64,15,5.999999848427251e-05,1.023130590999638,0.8947601460698825,0.003050057589411543,0.9750928217821783,0.8845915841584159,11.309998512268066,2.7599997520446777,1.1500000953674316,0.5299999713897705,0.6084478385779388,0.015625,126.54090118408203,101.7772742978376,7.49030066751483,-0.6723902114813832,0.6723902114813832,27.663425200279757,97.14495756246424,0.0,,0.9848623716527808,0.294488088405456,0.7667042190116558,0.632033316455123,0.6871634516411367,0.6871634516411367,0.03447314168498265,0,0,0.7216365933261193,1,0,0,0.6259886859330541,0.1915174538054592,0.5609082426003746,0,1,0,0.0,0.03447314168498265,unstable_side,失稳标签样本，但末段并未完全崩溃，更像反复振荡或局部失稳，属于失稳侧边界候选。功角后段振荡较强，展宽和角速度同时落在中间风险带。电压末段反复接近低压危险区，但没有彻底崩塌。,7,plots/74/74data__CurveResult_70___job_540_100_1.npy.png
74data/CurveResult 50%/job_432_100_1.npy,74,unstable,1,2001,64,15,0.0006900000153109431,1.023127223865421,0.894757114239593,0.0030512813023317684,0.9750928217821783,0.8845915841584159,11.29999828338623,2.7599997520446777,1.1500000953674316,0.5299999713897705,0.6087977352903199,0.015625,126.55160903930664,101.78289074684257,7.491526655281975,-0.664377249364661,0.664377249364661,27.711636144935675,97.0552710876361,0.0,,0.984844982481128,0.294488088405456,0.7668297617552383,0.6283837976071401,0.6864597168059399,0.6864597168059399,0.03427413082107538,0,0,0.7207338476270152,1,0,0,0.6254322676079663,0.19041183789486324,0.5597709610149173,0,1,0,0.0,0.03427413082107538,unstable_side,失稳标签样本，但末段并未完全崩溃，更像反复振荡或局部失稳，属于失稳侧边界候选。功角后段振荡较强，展宽和角速度同时落在中间风险带。电压末段反复接近低压危险区，但没有彻底崩塌。,8,plots/74/74data__CurveResult_50___job_432_100_1.npy.png
74data/CurveResult 70%/job_432_100_1.npy,74,unstable,1,2001,64,15,0.0006900000153109431,1.023127223865421,0.894757114239593,0.0030512813023317684,0.9750928217821783,0.8845915841584159,11.29999828338623,2.7599997520446777,1.1500000953674316,0.5299999713897705,0.6087977352903199,0.015625,126.55160903930664,101.78289074684257,7.491526655281975,-0.664377249364661,0.664377249364661,27.711636144935675,97.0552710876361,0.0,,0.984844982481128,0.294488088405456,0.7668297617552383,0.6283837976071401,0.6864597168059399,0.6864597168059399,0.03427413082107538,0,0,0.7207338476270152,1,0,0,0.6254322676079663,0.19041183789486324,0.5597709610149173,0,1,0,0.0,0.03427413082107538,unstable_side,失稳标签样本，但末段并未完全崩溃，更像反复振荡或局部失稳，属于失稳侧边界候选。功角后段振荡较强，展宽和角速度同时落在中间风险带。电压末段反复接近低压危险区，但没有彻底崩塌。,9,plots/74/74data__CurveResult_70___job_432_100_1.npy.png
74data/CurveResult 50%/job_324_100_1.npy,74,unstable,1,2001,64,15,5.999999848427251e-05,1.0231236308090277,0.89475487684136,0.003052761795383431,0.9750928217821783,0.8845915841584159,11.29999828338623,2.749999523162842,1.1600000858306885,0.5299999713897705,0.6094123246576997,0.015625,126.56277084350586,101.78886397442415,7.4931568426056305,-0.6562349274465281,0.6562349274465281,27.79644734646195,96.91305550257484,0.0,,0.9848321435496962,0.294488088405456,0.7669632595407359,0.6219599241446415,0.6852044648803851,0.6852044648803851,0.03392231532580081,0,0,0.7191267802061859,1,0,0,0.6245826667984639,0.18845730736556007,0.5577267728282415,0,1,0,0.0,0.03392231532580081,unstable_side,失稳标签样本，但末段并未完全崩溃，更像反复振荡或局部失稳，属于失稳侧边界候选。功角后段振荡较强，展宽和角速度同时落在中间风险带。电压末段反复接近低压危险区，但没有彻底崩塌。,10,plots/74/74data__CurveResult_50___job_324_100_1.npy.png
